Start,End,Duration,Type
25,81,56,3
201,342,141,3
901,1169,268,3
1416,2529,1113,3
3996,4273,277,3
7349,7634,285,3
9266,9543,277,3
11692,11756,64,3
11832,11924,92,3
11968,12027,59,4
12460,12552,92,3
13278,13440,162,3
13647,13700,53,3
14615,14624,9,3
14671,14677,6,3
14705,14716,11,3
14746,14763,17,3
14886,14897,11,3
15894,15927,33,3
15991,16049,58,3
17132,17197,65,3
18136,18318,182,3
19472,19494,22,3
20127,20155,28,3
21031,21142,111,3
22322,22339,17,3
24986,25059,73,3
25726,25816,90,3
26858,26902,44,3
27133,27155,22,3
28171,28196,25,3
