Start,End,Duration,Type
1873,2027,154,4
2154,2274,120,4
2288,2532,244,3
2550,2610,60,3
2672,2762,90,3
2782,2920,138,3
2979,3066,87,4
3070,3081,11,3
3360,3583,223,4
3752,3857,105,4
4175,4353,178,4
4389,4445,56,3
6399,6448,49,4
6630,6640,10,3
7065,7072,7,3
7085,7150,65,3
7426,7520,94,4
7525,7668,143,3
7793,7951,158,4
8094,8278,184,3
8545,8620,75,4
8858,9013,155,4
9500,9695,195,4
9852,9871,19,4
10470,10630,160,4
11248,11393,145,4
16391,16527,136,4
17069,17221,152,4
17656,17791,135,4
18152,18339,187,4
18982,19094,112,4
20037,20195,158,4
22648,22743,95,4
23170,23182,12,3
24113,24225,112,4
27221,27363,142,4
28566,28637,71,4
