Start,End,Duration,Type
3,95,92,1
105,161,56,1
249,297,48,1
331,386,55,3
752,831,79,3
1073,1122,49,3
1699,1742,43,3
1962,2077,115,3
2153,2239,86,3
2912,3019,107,3
3228,3302,74,3
3334,3402,68,3
3452,3465,13,3
3709,3724,15,3
4268,4295,27,3
4320,4369,49,3
4463,4522,59,3
4718,4777,59,3
4924,5200,276,3
5676,5721,45,3
6074,6130,56,3
6519,6593,74,3
6747,6900,153,3
7757,7821,64,3
7948,8002,54,3
8745,8769,24,3
9594,9650,56,3
10025,10066,41,3
11219,11288,69,3
11801,11861,60,3
12297,12422,125,3
13795,13836,41,3
14475,14520,45,3
15224,15273,49,3
16069,16121,52,3
17250,17310,60,3
17474,17503,29,3
18009,18072,63,3
18721,18780,59,3
19096,19155,59,3
20205,20300,95,3
20996,21067,71,3
21157,21271,114,3
21602,21664,62,3
22219,22311,92,3
23093,23196,103,3
23580,23665,85,3
24426,24521,95,3
24769,24869,100,3
25512,25650,138,3
26497,26604,107,3
26868,26968,100,3
27348,27452,104,3
27667,27754,87,3
