Start,End,Duration,Type
30,469,439,3
818,933,115,3
1125,1286,161,3
1469,1801,332,3
2060,3171,1111,3
3811,4142,331,3
4944,5164,220,3
6164,6173,9,3
6250,6264,14,3
6419,6446,27,3
6471,6505,34,3
6541,6568,27,3
6659,6701,42,3
6758,6775,17,3
6800,6849,49,3
6951,6954,3,3
7026,7039,13,3
7130,7134,4,3
7167,7191,24,3
7343,7354,11,3
7409,7418,9,3
7539,7547,8,3
7557,7563,6,3
7835,7846,11,3
8004,8005,1,3
8208,8216,8,3
8228,8237,9,3
8248,8329,81,3
8507,8527,20,3
8559,8577,18,3
9061,9074,13,3
11000,11014,14,3
11075,11085,10,3
11119,11135,16,3
12111,12125,14,3
12412,12435,23,3
12626,12640,14,3
15101,15130,29,3
16124,16148,24,3
18267,18322,55,3
18573,18609,36,3
19671,19707,36,3
21673,21702,29,3
21940,21987,47,3
22333,22368,35,3
