Start,End,Duration
3398,3403,5
3447,3452,5
3475,3480,5
3500,3506,6
3530,3536,6
3560,3565,5
3587,3592,5
3614,3620,6
3636,3643,7
3657,3662,5
3678,3684,6
3699,3706,7
3722,3729,7
3748,3754,6
3771,3778,7
3798,3804,6
3823,3829,6
3844,3850,6
3866,3872,6
3890,3896,6
3912,3918,6
3935,3940,5
3955,3962,7
4030,4034,4
4046,4052,6
4067,4073,6
4087,4093,6
4105,4110,5
4123,4129,6
4142,4148,6
8507,8510,3
8537,8541,4
8557,8561,4
8578,8581,3
8597,8602,5
8615,8621,6
8635,8641,6
8652,8657,5
8691,8696,5
8708,8715,7
8728,8733,5
8746,8752,6
8763,8769,6
8791,8797,6
8810,8817,7
8831,8838,7
8857,8863,6
8883,8889,6
8905,8912,7
8926,8933,7
8946,8953,7
8966,8973,7
8985,8992,7
9005,9007,2
9012,9018,6
10642,10645,3
10670,10676,6
10698,10703,5
10734,10739,5
10791,10795,4
10827,10831,4
10844,10850,6
10864,10870,6
10882,10886,4
10897,10902,5
10954,10960,6
10973,10977,4
10990,10995,5
11007,11013,6
11031,11035,4
14918,14921,3
14948,14952,4
14976,14981,5
14998,15003,5
15018,15023,5
15038,15044,6
15060,15066,6
15083,15089,6
15101,15107,6
15120,15126,6
15138,15146,8
15160,15168,8
15180,15187,7
15200,15206,6
15220,15227,7
15241,15247,6
15258,15265,7
15280,15286,6
15302,15309,7
15323,15330,7
15343,15350,7
15369,15375,6
15388,15395,7
15411,15418,7
15431,15437,6
15450,15457,7
15469,15476,7
15489,15495,6
15509,15515,6
15531,15542,11
