Start,End,Duration
3423,3426,3
3442,3445,3
3461,3467,6
3483,3486,3
3511,3516,5
3537,3542,5
3582,3587,5
3605,3610,5
3626,3631,5
3649,3653,4
3708,3712,4
3736,3740,4
3755,3760,5
3778,3783,5
6370,6373,3
6384,6388,4
6400,6402,2
6414,6416,2
6430,6433,3
6448,6450,2
6460,6462,2
6477,6480,3
6492,6495,3
6507,6511,4
6527,6531,4
6547,6552,5
6564,6569,5
6582,6587,5
6599,6603,4
6623,6628,5
6641,6646,5
6658,6662,4
6675,6677,2
6688,6693,5
6706,6710,4
6723,6727,4
6738,6744,6
6755,6761,6
6771,6777,6
6790,6795,5
6806,6812,6
6822,6828,6
6839,6844,5
6856,6861,5
6873,6879,6
6889,6894,5
6905,6910,5
6923,6928,5
6943,6948,5
6960,6964,4
6976,6981,5
6991,6996,5
7009,7016,7
7026,7031,5
7044,7050,6
7063,7068,5
7082,7086,4
