Start,End,Duration
3349,3354,5
3367,3373,6
3388,3393,5
3421,3426,5
3444,3450,6
3464,3469,5
3515,3520,5
3533,3538,5
3550,3556,6
3568,3575,7
3610,3616,6
3629,3636,7
3650,3656,6
3670,3676,6
3707,3713,6
3726,3732,6
3748,3754,6
3766,3774,8
3796,3801,5
3826,3833,7
8854,8856,2
8872,8874,2
8936,8939,3
8960,8962,2
8976,8979,3
8993,8998,5
9015,9017,2
9025,9028,3
9047,9051,4
9066,9070,4
9084,9090,6
9104,9109,5
9122,9128,6
9141,9147,6
9163,9169,6
9182,9188,6
9200,9207,7
9222,9225,3
9229,9235,6
9250,9258,8
9272,9278,6
9293,9300,7
9315,9322,7
9337,9343,6
9358,9365,7
9379,9385,6
9400,9406,6
9423,9429,6
9449,9456,7
14796,14799,3
14848,14852,4
14871,14874,3
14906,14909,3
14927,14930,3
14949,14955,6
14971,14977,6
14995,15001,6
15038,15042,4
15056,15061,5
15072,15078,6
15091,15097,6
15111,15116,5
15132,15138,6
15152,15158,6
15169,15175,6
15188,15195,7
15210,15218,8
15232,15239,7
15252,15259,7
15277,15283,6
15300,15307,7
15323,15330,7
15342,15349,7
15363,15370,7
15383,15390,7
15406,15412,6
15432,15440,8
15470,15477,7
15495,15502,7
