Start,End,Duration
5607,5608,1
5618,5619,1
5634,5636,2
5653,5654,1
5672,5677,5
5691,5695,4
5711,5715,4
5728,5732,4
5747,5750,3
5764,5771,7
5784,5790,6
5803,5809,6
5820,5826,6
5838,5843,5
5856,5861,5
5873,5878,5
5896,5903,7
5915,5921,6
5932,5938,6
5949,5955,6
5967,5972,5
5983,5989,6
6006,6012,6
6022,6028,6
6038,6044,6
6053,6059,6
6069,6076,7
6091,6092,1
6102,6109,7
6119,6126,7
6137,6144,7
6153,6160,7
6174,6183,9
6194,6200,6
6212,6218,6
6231,6237,6
6252,6257,5
6269,6275,6
6288,6294,6
6303,6310,7
6326,6333,7
6346,6352,6
6370,6374,4
6386,6392,6
6405,6411,6
6422,6428,6
6442,6448,6
6470,6476,6
6488,6494,6
6505,6512,7
6524,6530,6
6540,6546,6
6559,6566,7
6579,6585,6
6603,6609,6
6620,6626,6
