Start,End,Duration,Type,Notes
3454,3457,3,1,
3499,3503,4,2,
3517,3522,5,2,
3735,3740,5,2,3 calls
3755,3761,6,2,3 calls
3796,3801,5,2,3 calls
3946,3951,5,2,3 calls
4134,4139,5,2,4 calls
8648,8651,3,1,
8665,8667,2,1,
8725,8729,4,2,
8742,8746,4,2,
8761,8766,5,2,
8779,8782,3,2,
8796,8800,4,2,
8832,8837,5,2,
8865,8869,4,2,3 calls
8898,8905,7,2,3 calls
8917,8922,5,2,3 calls
8934,8940,6,2,3 calls
8950,8954,4,2,
8966,8972,6,3,
8985,8989,4,2,
9000,9005,5,2,3 calls
9018,9024,6,2,3 calls
9035,9040,5,2,3 calls
9053,9058,5,2,3 calls
9076,9082,6,2,5 calls
9094,9099,5,2,3 calls
9110,9115,5,2,3 calls
9126,9131,5,2,3 calls
9143,9148,5,2,3 calls
9160,9165,5,2,3 calls
9181,9188,7,2,5 calls
9202,9207,5,2,3 calls
9218,9222,4,2,3 calls
9234,9240,6,2,4 calls
9250,9255,5,2,3 calls
9274,9279,5,2,5 calls
9295,9299,4,2,3 calls
9309,9313,4,2,3 calls
9324,9330,6,2,4 calls
9342,9347,5,2,4 calls
9358,9364,6,2,4 calls
9376,9380,4,2,3 calls
9391,9397,6,2,4 calls
9409,9414,5,2,4 calls
9425,9430,5,2,4 calls
9442,9447,5,2,4 calls
9461,9466,5,2,5 calls
9482,9488,6,2,4 calls
9500,9506,6,2,4 calls
9517,9522,5,2,4 calls
9533,9539,6,2,4 calls
9550,9557,7,2,5 calls
9568,9573,5,2,4 calls
9585,9592,7,2,5 calls
9607,9612,5,2,5 calls
9634,9639,5,2,3 calls
9649,9655,6,2,4 calls
9668,9673,5,2,4 calls
9684,9690,6,2,4 calls
9703,9709,6,2,4 calls
9721,9726,5,2,4 calls
9740,9746,6,2,4 calls
9760,9765,5,2,4 calls
9778,9783,5,2,4 calls
9796,9802,6,2,4 calls
9816,9821,5,2,4 calls
9835,9840,5,2,3 calls
9858,9863,5,2,4 calls
9876,9882,6,2,5 calls
9897,9903,6,2,5 calls
9924,9930,6,2,6 calls
10117,10121,4,2,
10135,10138,3,2,
10150,10157,7,2,3 calls
10173,10178,5,2,3 calls
10195,10201,6,2,3 calls
10220,10225,5,2,3 calls
10244,10250,6,2,3 calls
10265,10270,5,2,3 calls
10285,10290,5,2,3 calls
10306,10313,7,2,3 calls
10332,10337,5,2,3 calls
10353,10356,3,2,
10380,10384,4,2,3 calls
10405,10411,6,2,3 calls
10426,10431,5,2,3 calls
10445,10449,4,2,3 calls
10467,10473,6,2,4 calls
10490,10495,5,2,3 calls
10510,10517,7,2,3 calls
10535,10541,6,2,4 calls
10562,10567,5,2,4 calls
10588,10593,5,2,4 calls
10612,10618,6,2,4 calls
10642,10648,6,2,3 calls
10663,10670,7,2,3 calls
