Start,End,Duration,Type,Notes
10560,10564,4,1,
10581,10584,3,1,
10598,10600,2,1,
10605,10609,4,3,
10622,10627,5,2,
10654,10658,4,2,
10669,10673,4,2,
10676,10683,7,3,
10695,10700,5,2,
10709,10714,5,2,
10726,10732,6,2,3 calls
10744,10750,6,2,3 calls
10761,10766,5,2,3 calls
10778,10781,3,2,
10784,10791,7,3,
10804,10810,6,2,3 calls
10822,10827,5,2,3 calls
10838,10843,5,2,3 calls
10856,10860,4,2,3 calls
10873,10878,5,2,3 calls
10889,10895,6,2,4 calls
10906,10912,6,2,4 calls
10924,10930,6,2,4 calls
10942,10948,6,2,4 calls
10959,10966,7,2,4 calls
10977,10984,7,2,4 calls
10995,11002,7,2,4 calls
11014,11020,6,2,4 calls
11031,11038,7,2,4 calls
11049,11052,3,2,
11054,11061,7,3,
11077,11082,5,2,3 calls
11091,11096,5,2,3 calls
11110,11116,6,2,4 calls
11127,11133,6,2,4 calls
11144,11150,6,2,4 calls
11161,11167,6,2,4 calls
11179,11186,7,2,5 calls
11199,11205,6,2,4 calls
11219,11225,6,2,4 calls
11236,11242,6,2,4 calls
11252,11258,6,2,4 calls
11270,11276,6,2,5 calls
11288,11294,6,2,4 calls
11307,11314,7,2,5 calls
11326,11332,6,2,4 calls
11344,11351,7,2,5 calls
11362,11367,5,2,4 calls
11380,11385,5,2,4 calls
11397,11404,7,2,5 calls
11419,11425,6,2,4 calls
11436,11442,6,2,4 calls
11454,11461,7,2,5 calls
11472,11478,6,2,4 calls
11489,11495,6,2,4 calls
11508,11514,6,2,4 calls
11526,11534,8,2,5 calls
11546,11551,5,2,4 calls
11564,11570,6,2,4 calls
11582,11588,6,2,5 calls
11602,11609,7,2,5 calls
11622,11628,6,2,4 calls
11639,11644,5,2,4 calls
11658,11663,5,2,4 calls
