Start,End,Duration
3113,3116,3
3140,3144,4
3167,3170,3
3232,3235,3
3259,3264,5
3282,3287,5
3312,3318,6
3336,3342,6
3361,3366,5
3392,3397,5
3421,3426,5
3443,3449,6
3467,3473,6
3491,3497,6
3514,3520,6
3532,3539,7
3558,3564,6
3577,3584,7
3595,3602,7
3621,3627,6
3643,3650,7
3669,3671,2
3676,3681,5
3696,3703,7
3715,3722,7
3737,3738,1
3741,3748,7
3760,3761,1
3771,3778,7
3797,3802,5
11643,11647,4
11661,11665,4
11682,11687,5
11704,11709,5
11782,11787,5
11818,11823,5
11842,11848,6
11861,11866,5
11877,11882,5
11895,11899,4
11916,11919,3
11937,11940,3
11953,11958,5
11970,11975,5
11987,11992,5
12009,12014,5
12030,12036,6
12068,12074,6
12103,12107,4
12118,12123,5
12173,12177,4
12216,12222,6
12253,12258,5
12270,12276,6
12313,12317,4
